params,silhouette,rand_index,homogeneity,completeness,entropy
"{'eps': 0.3, 'min_samples': 5}",0.34977425502578485,0.01666634361366873,0.39386191129797915,0.20297474989962153,3.6828054072844774
"{'eps': 0.3, 'min_samples': 10}",0.9697653018346755,0.00020878076247338311,0.018504180653499715,0.1810458492173585,1.088836961521142
"{'eps': 0.3, 'min_samples': 12}",,0.0,0.0,1.0,
"{'eps': 0.3, 'min_samples': 15}",,0.0,0.0,1.0,
"{'eps': 0.3, 'min_samples': 20}",,0.0,0.0,1.0,
"{'eps': 0.5, 'min_samples': 5}",-0.05069277767836795,0.5017052046828079,0.7551103645342729,0.43704347624276957,1.7558468590553307
"{'eps': 0.5, 'min_samples': 10}",0.09467276404840355,0.1397437385134856,0.5011664367602323,0.3114486623252653,2.1344681738045397
"{'eps': 0.5, 'min_samples': 12}",0.2638942314913687,0.05683429754127154,0.3877089409712869,0.2646345128999462,2.415977366688223
"{'eps': 0.5, 'min_samples': 15}",0.42523348905030495,0.01967392745575394,0.23492776451369288,0.23945006168776423,2.2960837352260555
"{'eps': 0.5, 'min_samples': 20}",0.764074516947244,0.00316376829911604,0.06809746799624526,0.21087206872128372,1.5948736757678676
"{'eps': 0.7, 'min_samples': 5}",-0.21632598297714337,0.4788038837171549,0.511346233124529,0.5720580026766825,0.7449641395680591
"{'eps': 0.7, 'min_samples': 10}",0.08180871569269202,0.5874078963143771,0.7574864514293893,0.5270587487280043,1.3486814310174131
"{'eps': 0.7, 'min_samples': 12}",0.2636044516563535,0.5111443941142856,0.700279916874485,0.515421217024734,1.2513181423581625
"{'eps': 0.7, 'min_samples': 15}",0.30563230125991314,0.38375870189820865,0.6113745206085143,0.4715517350232271,1.2257044586953754
"{'eps': 0.7, 'min_samples': 20}",0.3827223400590676,0.14908333169142207,0.4332428655419389,0.36418072887485,1.4305202292429673
"{'eps': 1.0, 'min_samples': 5}",-0.043646355794765015,3.523168584070428e-05,0.009159115361829433,0.05524680310253756,0.059588802281983516
"{'eps': 1.0, 'min_samples': 10}",0.4950092163552044,0.5023766502186249,0.5165459502407462,0.6527875201327926,0.6380136247948383
"{'eps': 1.0, 'min_samples': 12}",0.5005659413392559,0.4853462767314439,0.5058313898511082,0.6123938286963212,0.6385594664415339
"{'eps': 1.0, 'min_samples': 15}",0.637545808011903,0.7490186794616308,0.8083959634427371,0.6581769926085941,1.0985460366024888
"{'eps': 1.0, 'min_samples': 20}",0.6718223816865804,0.6331168662106107,0.7514540943942314,0.5965074421235486,1.0984009399036503
"{'eps': 1.2, 'min_samples': 5}",,-1.6776013968721e-05,0.00020128039235137721,0.0027652734493313464,0.0
"{'eps': 1.2, 'min_samples': 10}",,-6.073900523635933e-05,0.00012762431862363974,0.0008510293609000894,0.0
"{'eps': 1.2, 'min_samples': 12}",0.4816203597544428,0.5158091608238454,0.5121306428218948,0.7064576958121364,0.6367563370005238
"{'eps': 1.2, 'min_samples': 15}",0.49041759822653497,0.5069513045601354,0.5166659295537259,0.6675689053749663,0.6373820278545748
"{'eps': 1.2, 'min_samples': 20}",0.5021009917733812,0.48720424916897853,0.5087793387008899,0.6129552617185333,0.6402000676863078
"{'eps': 1.5, 'min_samples': 5}",,-2.8635921752664678e-06,0.0003134340036191533,0.00670524857469885,0.0
"{'eps': 1.5, 'min_samples': 10}",,-2.4392473593128974e-05,0.00010294066025373396,0.0014142414535806198,0.0
"{'eps': 1.5, 'min_samples': 12}",,-1.193438475263004e-05,0.00034677115715116486,0.0038858671314955648,0.0
"{'eps': 1.5, 'min_samples': 15}",,-3.7566580921129207e-05,0.0001678177793813915,0.0015067937810932088,0.0
"{'eps': 1.5, 'min_samples': 20}",0.4827983683374941,0.5212503179204867,0.518910211487534,0.7260733625655963,0.6363934478666896
"{'eps': 1.7, 'min_samples': 5}",,-1.9501888671946676e-06,0.00031498000488886587,0.010147412130903217,0.0
"{'eps': 1.7, 'min_samples': 10}",,3.963311158561675e-05,0.001526858166125308,0.028778873899751856,0.0
"{'eps': 1.7, 'min_samples': 12}",,1.0382767356718413e-05,0.0006897140106386624,0.01206846032101329,0.0
"{'eps': 1.7, 'min_samples': 15}",,-1.4694438259414711e-05,0.0002843453275816829,0.0037150839937599212,0.0
"{'eps': 1.7, 'min_samples': 20}",,-1.4180839882606977e-05,0.00039023139464965014,0.0037864638012171958,0.0
